Steps,Extra Steps
342,102.0
344,104.0
357,117.0
317,77.0
354,114.0
330,90.0
341,101.0
331,91.0
343,103.0
331,91.0
333,93.0
329,89.0
327,87.0
335,95.0
347,107.0
333,93.0
364,124.0
361,121.0
339,99.0
339,99.0
328,88.0
349,109.0
345,105.0
1001,761.0
327,87.0
435,195.0
339,99.0
343,103.0
357,117.0
331,91.0
425,185.0
327,87.0
344,104.0
341,101.0
331,91.0
328,88.0
331,91.0
332,92.0
344,104.0
332,92.0
345,105.0
370,130.0
330,90.0
342,102.0
331,91.0
355,115.0
331,91.0
344,104.0
343,103.0
355,115.0
329,89.0
330,90.0
335,95.0
378,138.0
331,91.0
339,99.0
1001,761.0
338,98.0
349,109.0
333,93.0
344,104.0
331,91.0
348,108.0
326,86.0
361,121.0
330,90.0
331,91.0
317,77.0
347,107.0
344,104.0
344,104.0
341,101.0
336,96.0
329,89.0
327,87.0
330,90.0
331,91.0
347,107.0
360,120.0
345,105.0
371,131.0
347,107.0
353,113.0
334,94.0
339,99.0
337,97.0
330,90.0
333,93.0
373,133.0
335,95.0
345,105.0
337,97.0
351,111.0
371,131.0
437,197.0
331,91.0
329,89.0
1001,761.0
339,99.0
339,99.0
1001,746.0
434,179.0
1001,746.0
1001,746.0
1001,746.0
432,177.0
1001,746.0
1001,746.0
377,122.0
370,115.0
1001,746.0
348,93.0
1001,746.0
1001,746.0
1001,746.0
466,211.0
1001,746.0
1001,746.0
362,107.0
345,90.0
364,109.0
1001,746.0
1001,746.0
368,113.0
1001,746.0
1001,746.0
390,135.0
436,181.0
394,139.0
360,105.0
384,129.0
1001,746.0
1001,746.0
354,99.0
414,159.0
1001,746.0
364,109.0
1001,746.0
1001,746.0
1001,746.0
362,107.0
358,103.0
390,135.0
1001,746.0
371,116.0
349,94.0
1001,746.0
402,147.0
360,105.0
1001,746.0
1001,746.0
362,107.0
418,163.0
386,131.0
1001,746.0
1001,746.0
364,109.0
350,95.0
436,181.0
1001,746.0
383,128.0
358,103.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
420,165.0
1001,746.0
354,99.0
356,101.0
1001,746.0
1001,746.0
1001,746.0
370,115.0
524,269.0
394,139.0
1001,746.0
512,257.0
384,129.0
390,135.0
524,269.0
1001,746.0
368,113.0
1001,746.0
371,116.0
1001,746.0
411,156.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
424,169.0
1001,746.0
366,111.0
368,113.0
1001,746.0
359,104.0
322,67.0
1001,746.0
370,115.0
324,69.0
328,73.0
1001,746.0
332,77.0
338,83.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
486,231.0
322,67.0
322,67.0
1001,746.0
327,72.0
1001,746.0
324,69.0
318,63.0
343,88.0
318,63.0
334,79.0
336,81.0
332,77.0
1001,746.0
332,77.0
322,67.0
1001,746.0
318,63.0
350,95.0
1001,746.0
324,69.0
1001,746.0
1001,746.0
326,71.0
318,63.0
326,71.0
335,80.0
320,65.0
328,73.0
1001,746.0
342,87.0
324,69.0
1001,746.0
1001,746.0
320,65.0
324,69.0
1001,746.0
1001,746.0
1001,746.0
1001,746.0
323,68.0
1001,746.0
1001,746.0
349,94.0
318,63.0
1001,746.0
336,81.0
1001,746.0
322,67.0
338,83.0
326,71.0
322,67.0
350,95.0
322,67.0
1001,746.0
324,69.0
1001,746.0
348,93.0
318,63.0
1001,746.0
1001,746.0
336,81.0
1001,746.0
324,69.0
348,93.0
1001,746.0
320,65.0
1001,746.0
332,77.0
1001,746.0
324,69.0
329,74.0
344,89.0
1001,746.0
332,77.0
1001,746.0
1001,746.0
330,75.0
1001,746.0
338,83.0
324,69.0
322,67.0
340,85.0
328,73.0
334,79.0
355,100.0
342,87.0
