y,x,min_steps,steps_taken,is_done,extra_steps,t_min_over_t
0,0,30,342,True,312,0.08771929824561403
5,0,25,601,False,576,0.04159733777038269
10,0,20,601,False,581,0.033277870216306155
15,0,15,275,True,260,0.05454545454545454
20,0,20,601,False,581,0.033277870216306155
25,0,25,601,False,576,0.04159733777038269
30,0,30,601,False,571,0.04991680532445923
35,0,35,271,True,236,0.12915129151291513
40,0,40,252,True,212,0.15873015873015872
45,0,45,489,True,444,0.09202453987730061
50,0,50,230,True,180,0.21739130434782608
55,0,55,601,False,546,0.09151414309484193
60,0,60,226,True,166,0.26548672566371684
65,0,65,280,True,215,0.23214285714285715
70,0,70,231,True,161,0.30303030303030304
75,0,75,160,True,85,0.46875
80,0,80,601,False,521,0.13311148086522462
85,0,85,272,True,187,0.3125
90,0,90,220,True,130,0.4090909090909091
95,0,95,601,False,506,0.15806988352745424
100,0,100,601,False,501,0.16638935108153077
105,0,105,601,False,496,0.17470881863560733
110,0,110,350,True,240,0.3142857142857143
0,5,25,279,True,254,0.08960573476702509
5,5,20,491,True,471,0.04073319755600815
10,5,15,433,True,418,0.03464203233256351
15,5,10,601,False,591,0.016638935108153077
20,5,15,288,True,273,0.052083333333333336
25,5,20,286,True,266,0.06993006993006994
30,5,25,601,False,576,0.04159733777038269
35,5,30,288,True,258,0.10416666666666667
40,5,35,233,True,198,0.15021459227467812
45,5,40,213,True,173,0.18779342723004694
50,5,45,601,False,556,0.07487520798668885
55,5,50,258,True,208,0.1937984496124031
60,5,55,280,True,225,0.19642857142857142
65,5,60,601,False,541,0.09983361064891846
70,5,65,601,False,536,0.10815307820299501
75,5,70,601,False,531,0.11647254575707154
80,5,75,261,True,186,0.28735632183908044
85,5,80,348,True,268,0.22988505747126436
90,5,85,230,True,145,0.3695652173913043
95,5,90,601,False,511,0.1497504159733777
100,5,95,188,True,93,0.5053191489361702
105,5,100,187,True,87,0.5347593582887701
110,5,105,364,True,259,0.28846153846153844
0,10,20,288,True,268,0.06944444444444445
5,10,15,408,True,393,0.03676470588235294
10,10,10,601,False,591,0.016638935108153077
15,10,5,271,True,266,0.01845018450184502
20,10,10,268,True,258,0.03731343283582089
25,10,15,601,False,586,0.024958402662229616
30,10,20,601,False,581,0.033277870216306155
35,10,25,601,False,576,0.04159733777038269
40,10,30,238,True,208,0.12605042016806722
45,10,35,601,False,566,0.05823627287853577
50,10,40,601,False,561,0.06655574043261231
55,10,45,220,True,175,0.20454545454545456
60,10,50,134,True,84,0.373134328358209
65,10,55,469,True,414,0.11727078891257996
70,10,60,601,False,541,0.09983361064891846
75,10,65,220,True,155,0.29545454545454547
80,10,70,313,True,243,0.22364217252396165
85,10,75,577,True,502,0.12998266897746968
90,10,80,283,True,203,0.2826855123674912
95,10,85,601,False,516,0.14143094841930118
100,10,90,159,True,69,0.5660377358490566
105,10,95,220,True,125,0.4318181818181818
110,10,100,601,False,501,0.16638935108153077
0,15,15,232,True,217,0.06465517241379311
5,15,10,277,True,267,0.036101083032490974
10,15,5,299,True,294,0.016722408026755852
20,15,5,601,False,596,0.008319467554076539
25,15,10,241,True,231,0.04149377593360996
30,15,15,601,False,586,0.024958402662229616
35,15,20,601,False,581,0.033277870216306155
40,15,25,601,False,576,0.04159733777038269
45,15,30,239,True,209,0.12552301255230125
50,15,35,289,True,254,0.12110726643598616
55,15,40,196,True,156,0.20408163265306123
60,15,45,262,True,217,0.1717557251908397
65,15,50,254,True,204,0.1968503937007874
70,15,55,276,True,221,0.19927536231884058
75,15,60,601,False,541,0.09983361064891846
80,15,65,601,False,536,0.10815307820299501
85,15,70,211,True,141,0.33175355450236965
90,15,75,220,True,145,0.3409090909090909
95,15,80,267,True,187,0.299625468164794
100,15,85,348,True,263,0.2442528735632184
105,15,90,601,False,511,0.1497504159733777
110,15,95,316,True,221,0.30063291139240506
0,20,20,252,True,232,0.07936507936507936
5,20,15,236,True,221,0.0635593220338983
10,20,10,342,True,332,0.029239766081871343
